patent,frequency
5611050,355
5790793,355
5807375,355
6379301,355
5216537,354
5437651,354
5457746,354
5592470,354
5637113,354
5704029,354
5708825,354
5730165,354
5803831,354
5858746,354
5885172,354
5903881,354
6006221,354
6240555,354
6256773,354
4399216,353
4904261,353
4987897,353
5133733,353
5303286,353
5456465,353
5639278,353
5802518,353
6018619,353
6115690,353
6236975,353
"""WO 2004/057590""",352
4435047,352
4531527,352
4805907,352
5199242,352
5276860,352
5313943,352
5335657,352
5356786,352
5443496,352
5550984,352
5558672,352
5608232,352
5611535,352
5695519,352
5709680,352
5852630,352
5878141,352
5905251,352
6190353,352
6389432,352
6534781,352
6593176,352
2004/0165159,351
5354977,351
5411647,351
5462521,351
5562728,351
5569241,351
5601224,351
5793365,351
5812819,351
6121009,351
6240616,351
4596992,350
4859060,350
5002491,350
5040548,350
5431170,350
5488412,350
5513117,350
5559549,350
5638946,350
5809139,350
5848413,350
5860974,350
5867821,350
5893889,350
5961603,350
5991399,350
6032849,350
6248946,350
6484046,350
6621095,350
4548202,349
4643184,349
4887612,349
5047867,349
5093718,349
5206903,349
5375612,349
5383928,349
5433727,349
5484870,349
5611052,349
5820459,349
5907837,349
5944738,349
5957949,349
5963923,349
6001067,349
6014643,349
6151643,349
6511867,349
6567293,349
5108416,348
5151102,348
5249044,348
5294870,348
5447724,348
5540684,348
5598285,348
5818441,348
6279113,348
4314827,347
4647447,347
4787398,347
4821723,347
5049132,347
5128831,347
5247571,347
5290654,347
5370685,347
5416797,347
5438508,347
5534028,347
5790789,347
5959316,347
6004335,347
6165212,347
6190254,347
6224482,347
6295541,347
6319125,347
6429064,347
4542199,346
4926327,346
5370657,346
5397364,346
5442771,346
5476211,346
5582697,346
5800992,346
5940811,346
6266649,346
6363488,346
6438579,346
6597009,346
4342314,345
4506387,345
4621733,345
4677466,345
5049898,345
5206590,345
5274631,345
5281216,345
5390683,345
5442390,345
5456684,345
5459306,345
5545161,345
5676702,345
6024699,345
6142873,345
6589714,345
6698020,345
4737802,344
4945050,344
4984581,344
5120382,344
5126936,344
5195959,344
5209747,344
5235633,344
5383880,344
5384261,344
5544246,344
5683465,344
5825283,344
5897562,344
6051648,344
6192340,344
6211626,344
6605527,344
6867896,344
4275149,343
4553273,343
4858105,343
4979948,343
5164831,343
5171278,343
5200959,343
5267994,343
5295484,343
5299810,343
5335277,343
5337361,343
5344426,343
5523942,343
5582616,343
5645597,343
5766252,343
5837458,343
5856174,343
5889868,343
5991881,343
6229506,343
6389538,343
4133814,342
4571603,342
4873191,342
5151092,342
5509410,342
5612868,342
5812776,342
5860977,342
5869843,342
6122647,342
6269369,342
4224125,341
4771295,341
4850009,341
4928688,341
5226099,341
5305203,341
5413378,341
5536251,341
5583763,341
5708247,341
5758644,341
5813017,341
5830721,341
5987434,341
6345288,341
6420725,341
6558287,341
4258264,340
4390067,340
4547804,340
4625081,340
4761785,340
5005200,340
5010571,340
5015253,340
5108419,340
5341429,340
5444566,340
5455525,340
5465401,340
5619247,340
5771354,340
5802502,340
5824048,340
5865814,340
3992158,339
4771777,339
5210015,339
5211165,339
5233385,339
5383887,339
5553609,339
5636276,339
5683451,339
5708961,339
5725552,339
5832119,339
5885211,339
5903723,339
6029045,339
"""WO 2004/057589""",338
2002/0126364,338
5101814,338
5243703,338
5366443,338
5479482,338
5632272,338
5676697,338
5870724,338
6167383,338
6673700,338
2004/0000627,337
4445509,337
4646722,337
4873459,337
5208756,337
5399898,337
5630837,337
5674785,337
5676674,337
5706507,337
5809128,337
5907704,337
5915167,337
6026414,337
6120031,337
6129761,337
6171327,337
6321338,337
6523027,337
6794119,337
4413022,336
4604995,336
4631052,336
4655225,336
4847764,336
4973493,336
5002576,336
5029805,336
5217076,336
5318589,336
5360431,336
5423810,336
5511781,336
5640569,336
5727165,336
5772451,336
5974662,336
6049727,336
6174233,336
6327628,336
4399209,335
4696290,335
4907973,335
4936848,335
5108407,335
5288636,335
5324284,335
5455407,335
5526822,335
5578976,335
5621412,335
5701451,335
5977964,335
6131087,335
6258115,335
4673402,334
4945305,334
5208491,334
5265033,334
5353575,334
5421832,334
5444779,334
5446891,334
5478309,334
5778187,334
5797537,334
5835988,334
5840081,334
5841396,334
5892909,334
5904708,334
5914616,334
5944824,334
6134003,334
6152946,334
6335927,334
6918404,334
5212582,333
5279309,333
5306275,333
5306286,333
5331454,333
5343063,333
5403326,333
5543789,333
5556752,333
5930764,333
6006257,333
6055236,333
6190414,333
4562596,332
4590934,332
4952928,332
5079544,332
5285474,332
5319181,332
5330486,332
5456712,332
5534030,332
5666141,332
5682886,332
5707745,332
5997817,332
6070150,332
6328649,332
6487561,332
4302775,331
4373527,331
4982184,331
5217460,331
5254883,331
5348095,331
5734823,331
6016449,331
6120588,331
6234897,331
6463585,331
6675159,331
3994771,330
4485816,330
4500880,330
4558176,330
4575621,330
4611094,330
4816397,330
5005562,330
5178390,330
5197964,330
5259106,330
5267865,330
5365516,330
5655077,330
5810874,330
6439995,330
6555860,330
2004/0207824,329
4006747,329
5193540,329
5417687,329
5459570,329
5481294,329
5482036,329
5634711,329
5725582,329
5777719,329
5873071,329
5982553,329
5999808,329
6022376,329
6138119,329
6258121,329
6419704,329
4025851,328
4805623,328
4815741,328
4950264,328
5034506,328
5152100,328
5252743,328
5278652,328
5354295,328
5372852,328
5532962,328
5615109,328
5686902,328
5710918,328
5835953,328
5845255,328
5914472,328
5963916,328
6001118,328
6121027,328
4126854,327
4592546,327
4944836,327
5050608,327
5133075,327
5197977,327
5217458,327
5225539,327
5233459,327
5321816,327
5433708,327
5456667,327
5540688,327
5558671,327
5711861,327
5922591,327
6014694,327
6078727,327
6083710,327
6233566,327
2004/0031058,326
4467424,326
5022745,326
5025346,326
5222974,326
5258006,326
5380299,326
5559358,326
5572999,326
5649117,326
5758359,326
6168579,326
6185598,326
6199082,326
6579690,326
4718907,325
4944298,325
5057475,325
5127912,325
5405152,325
5442553,325
5604542,325
5738096,325
5761115,325
5812159,325
5933822,325
5973683,325
5983200,325
5990927,325
6012053,325
6027520,325
6270572,325
2001/0014868,324
2004/0136494,324
4431193,324
4486739,324
4745468,324
4926255,324
5054096,324
5091713,324
5211658,324
5256863,324
5493677,324
5510270,324
5544649,324
5559707,324
5677566,324
5745569,324
5800457,324
6015541,324
6023723,324
6529909,324
4522811,323
4611581,323
4709698,323
5092877,323
5102415,323
5129570,323
5176692,323
5243423,323
